Rank,wind speed
1285,0.699999988
1286,1
1287,0.400000006
1288,0.300000012
1289,1.299999952
1290,0.200000003
1291,1.200000048
1292,3.799999952
1293,4.699999809
1294,4.199999809
1295,2.799999952
1296,1.200000048
1297,1.899999976
1298,3.400000095
1299,1.799999952
1300,1.200000048
1301,1.399999976
1302,0.899999976
1303,0
1304,0.300000012
1305,1.5
1306,2.599999905
1307,1.399999976
1308,1
1309,1.700000048
1310,1.799999952
1311,1.200000048
1312,0.699999988
1313,0.899999976
1314,1.600000024
1315,0.300000012
1316,1
1317,1
1318,0.800000012
1319,1
1320,0.5
1321,0.200000003
1322,0.600000024
1323,0.100000001
1324,1
1325,1.100000024
1326,1.299999952
1327,2.599999905
1328,2.599999905
1329,3.200000048
1330,4.199999809
1331,5.699999809
1332,5.900000095
1333,4.400000095
1334,6.199999809
1335,4.400000095
1336,5.599999905
1337,4.699999809
1338,5.699999809
1339,4
1340,4.400000095
1341,4.400000095
1342,3.900000095
1343,3.299999952
1344,3.599999905
1345,2.5
1346,1.5
1347,2
1348,2.900000095
1349,3.299999952
1350,2.799999952
1351,2.700000048
1352,2.700000048
1353,2.700000048
1354,3.299999952
1355,2.599999905
1356,2.400000095
1357,2.299999952
1358,1.399999976
1359,3.400000095
1360,2.200000048
1361,4
1362,2.599999905
1363,3.099999905
1364,3.200000048
1365,3.299999952
1366,4.5
1367,3.700000048
1368,3.400000095
1369,3.599999905
1370,3.200000048
1371,3.900000095
1372,3.799999952
1373,4.5
1374,4.5
1375,4.800000191
1376,4.599999905
1377,3
1378,4.199999809
1379,5.5
1380,5.199999809
1381,2.5
1382,2.700000048
1383,4.599999905
1384,2
1385,3.900000095
1386,4.099999905
1387,4
1388,4.099999905
1389,4.5
1390,5
1391,4.099999905
1392,3.599999905
1393,3.5
1394,4.5
1395,4.699999809
1396,5.699999809
1397,5.099999905
1398,3.5
1399,3.5
1400,5.099999905
1401,4.900000095
1402,3.299999952
1403,5.199999809
1404,5.900000095
1405,5
1406,7.199999809
1407,3.299999952
1408,4.300000191
1409,4.800000191
1410,5.800000191
1411,4.099999905
1412,4
1413,6.699999809
1414,5.699999809
1415,4.900000095
1416,3.5
1417,3.799999952
1418,2.799999952
1419,1.799999952
1420,2.799999952
1421,2.700000048
1422,3.400000095
1423,2.599999905
1424,2.200000048
1425,3.5
1426,4.599999905
1427,1.399999976
1428,2.5
1429,1.700000048
1430,1.399999976
1431,0.699999988
1432,1.600000024
1433,1.299999952
1434,2.200000048
1435,2.099999905
1436,2.099999905
1437,1.299999952
1438,1.299999952
1439,1.600000024
1440,2.5
1441,1
1442,1.200000048
1443,0
1444,1.799999952
1445,3.900000095
1446,0.699999988
1447,0.400000006
1448,2
1449,1.399999976
1450,0.899999976
1451,1.200000048
1452,1.5
1453,1.5
1454,2.599999905
1455,1.200000048
1456,0.899999976
1457,2.200000048
1458,2.400000095
1459,1.5
1460,4
1461,1.5
1462,3.099999905
1463,3
1464,3.099999905
1465,2.700000048
1466,2.099999905
1467,1.600000024
1468,2.099999905
1469,2
1470,1.899999976
1471,4.400000095
1472,2.700000048
1473,2.900000095
1474,3.700000048
1475,4.199999809
1476,3.200000048
1477,3.200000048
1478,1.899999976
1479,1.100000024
1480,1
1481,1.100000024
1482,2.200000048
1483,0.800000012
1484,1.5
1485,0.800000012
1486,0.300000012
1487,0.200000003
1488,0.400000006
1489,0.800000012
1490,0.800000012
1491,0.699999988
1492,2.099999905
1493,1.899999976
1494,1.899999976
1495,1.100000024
1496,2.400000095
1497,2.400000095
1498,4
1499,0.899999976
1500,0.800000012
1501,2.5
1502,2.099999905
1503,3.900000095
1504,3
1505,2.200000048
1506,2.299999952
1507,1.700000048
1508,1.899999976
1509,1.5
1510,1
1511,0.800000012
1512,1.299999952
1513,0.5
1514,0.699999988
1515,0.800000012
1516,0.800000012
1517,1.200000048
1518,1.899999976
1519,1.200000048
1520,0.800000012
1521,1.299999952
1522,1.299999952
1523,1.700000048
1524,1.700000048
1525,2.700000048
1526,2
1527,1.299999952
1528,1.299999952
1529,2.099999905
1530,1.899999976
1531,1.100000024
1532,1.200000048
1533,1.5
1534,0.300000012
1535,0.400000006
1536,1
1537,0.400000006
1538,0.899999976
1539,0.600000024
1540,1.100000024
1541,1.100000024
1542,2.299999952
1543,3.400000095
1544,2.700000048
1545,1.899999976
1546,3.299999952
1547,3.099999905
1548,2.299999952
1549,0.600000024
1550,0.400000006
1551,0.200000003
1552,0.100000001
1553,0
1554,0.100000001
1555,0
1556,0
1557,0.100000001
1558,0.100000001
1559,0.100000001
1560,0
1561,1.399999976
1562,1.100000024
1563,1.700000048
1564,0.899999976
1565,2.299999952
1566,1.899999976
1567,2.200000048
1568,1.899999976
1569,2.5
1570,1.200000048
1571,1.799999952
1572,2.400000095
1573,3
1574,1.700000048
1575,2.799999952
1576,4.199999809
1577,3.299999952
1578,2.200000048
1579,2.599999905
1580,3.200000048
1581,2.599999905
1582,3.400000095
1583,3.200000048
1584,3.400000095
1585,3.5
1586,3.700000048
1587,3.900000095
1588,3.400000095
1589,5.199999809
1590,5.5
1591,2.700000048
1592,5.5
1593,4.699999809
1594,4.400000095
1595,3.599999905
1596,3.200000048
1597,4.199999809
1598,4.699999809
1599,4.400000095
1600,3.900000095
1601,5.099999905
1602,3.099999905
1603,3
1604,3.299999952
1605,2.799999952
1606,2.299999952
1607,2.200000048
1608,2.200000048
1609,0.899999976
1610,1.299999952
1611,1.899999976
1612,1.700000048
1613,2.400000095
1614,1.299999952
1615,3
1616,2.799999952
1617,2.299999952
1618,2.799999952
1619,1.799999952
1620,1.399999976
1621,2.099999905
1622,0.699999988
1623,0.100000001
1624,0.600000024
1625,1.399999976
1626,0.5
1627,1.399999976
1628,0.600000024
1629,0.600000024
1630,1.100000024
1631,1.200000048
1632,1
1633,0.699999988
1634,1.399999976
1635,1.5
1636,1.100000024
